| 2024-01-25 18:42:50,638 | wrapper | DEBUG | Аргументы: |(1, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 1)|{}| Результат: 8.0 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 2)|{}| Результат: 4.0 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 3)|{}| Результат: 2.6666666666666665 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 4)|{}| Результат: 2.0 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 5)|{}| Результат: 1.6 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 6)|{}| Результат: 1.3333333333333333 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 7)|{}| Результат: 1.1428571428571428 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 8)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 9)|{}| Результат: 0.8888888888888888 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(9, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(9, 1)|{}| Результат: 9.0 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(9, 2)|{}| Результат: 4.5 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(9, 3)|{}| Результат: 3.0 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(9, 4)|{}| Результат: 2.25 | Функция some_func|
| 2024-01-25 18:42:50,643 | wrapper | DEBUG | Аргументы: |(9, 5)|{}| Результат: 1.8 | Функция some_func|
| 2024-01-25 18:42:50,643 | wrapper | DEBUG | Аргументы: |(9, 6)|{}| Результат: 1.5 | Функция some_func|
| 2024-01-25 18:42:50,643 | wrapper | DEBUG | Аргументы: |(9, 7)|{}| Результат: 1.2857142857142858 | Функция some_func|
| 2024-01-25 18:42:50,643 | wrapper | DEBUG | Аргументы: |(9, 8)|{}| Результат: 1.125 | Функция some_func|
| 2024-01-25 18:42:50,643 | wrapper | DEBUG | Аргументы: |(9, 9)|{}| Результат: 1.0 | Функция some_func|
